파일명,전체 글자수,남은 질문들
1. 공리.md,"24,479","15,461"
2. 허실.md,"18,593","10,687"
3. 극한과 무한.md,"18,452","9,620"
4. 곡률.md,"17,926","9,381"
5. 대칭.md,"15,015","7,910"
6. 불완전성.md,"16,037","8,389"
7. 운동.md,"23,000","13,079"
8. 장.md,"23,316","13,783"
9. 동시성.md,"22,951","12,510"
10. 휨.md,"24,244","14,906"
11. 엔트로피.md,"19,263","11,202"
12. 혼돈.md,"20,676","11,528"
13. 양자.md,"13,932","9,710"
14. 파동과 확률.md,"16,200","10,642"
15. 불확정성.md,"15,153","9,881"
16. 경로.md,"13,851","9,188"
17. 얽힘.md,"14,526","9,615"
18. 측정.md,"16,307","10,582"
19. 깨짐.md,"13,041","8,183"
20. 입자.md,"13,268","8,533"
21. 빅뱅.md,"14,964","9,932"
22. 암흑.md,"12,877","8,460"
23. 초끈.md,"14,392","9,553"
24. 다중우주.md,"13,978","8,708"
25. 원자.md,"10,596","6,619"
26. 결합.md,"12,349","8,312"
27. 문턱.md,"11,125","7,003"
28. 핵.md,"14,049","10,138"
29. 세포.md,"11,964","8,287"
30. 진화.md,"11,914","8,557"
31. 뇌.md,"10,330","6,643"
32. 의식.md,"12,436","8,094"
33. 정보.md,"11,220","6,497"
34. 계산.md,"11,217","6,560"
35. 인공지능.md,"12,743","7,773"
36. 양자계산.md,"13,040","8,228"
37. 시간.md,"13,700","8,604"
38. 실재.md,"13,483","8,336"
39. 인식.md,"12,693","6,981"
40. 의지.md,"14,310","8,339"
41. 이성.md,"10,622","6,709"
42. 해체.md,"11,960","7,801"
43. 경계.md,"11,149","7,174"
44. 침묵.md,"13,467","9,196"
45. 음계.md,"11,568","7,528"
46. 산조.md,"9,957","6,327"
47. 시.md,"11,022","6,622"
48. 비극.md,"11,775","8,416"
49. 미술.md,"12,682","9,703"
50. 건축.md,"12,363","9,040"
51. 우주.md,"11,018","7,434"
52. 공존.md,"11,502","7,953"
53. 인간.md,"12,534","8,472"
