어휘,품사,전체 빈도
없,형용사,211
우주,일반명사,157
있,동사,139
안,일반명사,128
되,동사,125
있,형용사,104
시간,일반명사,102
존재,일반명사,100
빛,일반명사,100
자리,일반명사,97
같,형용사,94
계산,일반명사,93
보이,동사,91
언어,일반명사,90
보,동사,84
인간,일반명사,83
순간,일반명사,82
가능,일반명사,80
세계,일반명사,80
전자,일반명사,77
자신,일반명사,76
상태,일반명사,76
때,일반명사,75
입자,일반명사,75
자연,일반명사,72
만들,동사,71
위,일반명사,67
에너지,일반명사,67
질서,일반명사,66
수학,일반명사,64
구조,일반명사,64
공간,일반명사,62
물리학,일반명사,62
속,일반명사,61
힘,일반명사,59
질문,일반명사,58
자체,일반명사,58
결과,일반명사,58
사실,일반명사,57
이론,일반명사,57
물질,일반명사,56
다르,형용사,55
시작,일반명사,55
양자,일반명사,55
말,일반명사,55
정보,일반명사,53
뇌,일반명사,53
방향,일반명사,52
물리,일반명사,51
끝,일반명사,50
알,동사,50
전,일반명사,48
법칙,일반명사,47
길,일반명사,47
따르,동사,47
결정,일반명사,47
원자,일반명사,46
대칭,일반명사,45
측정,일반명사,45
생명,일반명사,45
서,동사,44
하,동사,44
남,동사,44
실험,일반명사,42
부르,동사,42
설명,일반명사,42
속도,일반명사,42
증명,일반명사,41
파동,일반명사,40
사라지,동사,40
경로,일반명사,40
앞,일반명사,39
일,일반명사,39
중력,일반명사,38
역학,일반명사,38
사이,일반명사,38
나타나,동사,37
체계,일반명사,36
멈추,동사,36
세우,동사,35
가지,동사,35
문장,일반명사,35
선택,일반명사,35
아인슈타인,고유명사,35
위하,동사,35
처음,일반명사,35
이상,일반명사,35
닿,동사,35
방식,일반명사,35
문제,일반명사,35
흔들리,동사,34
수,일반명사,34
답,일반명사,34
뒤,일반명사,34
질량,일반명사,34
사람,일반명사,33
거대,일반명사,33
서로,일반명사,33
분자,일반명사,33
움직이,동사,32
모르,동사,32
넘,동사,32
기술,일반명사,32
단순,일반명사,32
위치,일반명사,32
세상,일반명사,32
의식,일반명사,32
쓰,동사,31
전체,일반명사,31
현실,일반명사,31
눈,일반명사,31
곳,일반명사,31
흐르,동사,31
조건,일반명사,31
동시,일반명사,31
대신,일반명사,30
방정식,일반명사,30
과정,일반명사,30
과학,일반명사,30
경계,일반명사,29
많,형용사,28
영역,일반명사,28
값,일반명사,28
예측,일반명사,28
완전,일반명사,28
점,일반명사,27
작,형용사,27
받아들이,동사,27
떨어지,동사,27
깊,형용사,27
이름,일반명사,27
시공간,일반명사,27
남기,동사,27
흩어지,동사,26
발견,일반명사,26
성질,일반명사,26
바꾸,동사,26
기계,일반명사,26
반복,일반명사,26
외부,일반명사,26
생각,일반명사,26
별,일반명사,26
확률,일반명사,26
신호,일반명사,26
그리,동사,25
원리,일반명사,25
실재,일반명사,25
결합,일반명사,25
완벽,일반명사,24
바닥,일반명사,24
도달,일반명사,24
지구,일반명사,24
가,동사,24
미세,일반명사,24
비,동사,24
물리학자,일반명사,24
확인,일반명사,23
무한,일반명사,23
유지,일반명사,23
나오,동사,23
전기,일반명사,23
드러나,동사,23
살,동사,23
차이,일반명사,23
정하,동사,23
뜻,일반명사,23
엔트로피,일반명사,23
소리,일반명사,23
짧,형용사,22
동안,일반명사,22
들,동사,22
지점,일반명사,22
품,동사,22
놓이,동사,22
사건,일반명사,22
관찰자,일반명사,22
이유,일반명사,22
빠르,형용사,22
대상,일반명사,22
논리,일반명사,21
만나,동사,21
손,일반명사,21
인류,일반명사,21
바깥,일반명사,21
던지,동사,21
배열,일반명사,21
길,형용사,21
주체,일반명사,21
무너지,동사,20
작동,일반명사,20
규칙,일반명사,20
흐름,일반명사,20
현상,일반명사,20
아래,일반명사,20
자유,일반명사,20
차원,일반명사,20
물,일반명사,20
오,동사,20
원소,일반명사,20
세기,일반명사,19
바뀌,동사,19
크,형용사,19
지우,동사,19
고정,일반명사,19
정밀,일반명사,19
향하,동사,19
생기,동사,19
시선,일반명사,19
감각,일반명사,19
경험,일반명사,19
그림,일반명사,19
몸,일반명사,19
핵,일반명사,19
복제,일반명사,19
의미,일반명사,18
다음,일반명사,18
완성,일반명사,18
일어나,동사,18
수식,일반명사,18
결론,일반명사,18
고전,일반명사,18
직관,일반명사,18
가리키,동사,18
대하,동사,18
형식,일반명사,18
작용,일반명사,18
음,일반명사,18
달라지,동사,17
온도,일반명사,17
벽,일반명사,17
얼굴,일반명사,17
안정,일반명사,17
거리,일반명사,17
세포,일반명사,17
읽,동사,17
미래,일반명사,17
드러내,동사,17
내,동사,17
초기,일반명사,17
특정,일반명사,17
반응,일반명사,17
관측,일반명사,17
낯설,형용사,16
거치,동사,16
형태,일반명사,16
잃,동사,16
관찰,일반명사,16
열,동사,16
퍼지,동사,16
낮,형용사,16
실체,일반명사,16
주변,일반명사,16
머물,동사,16
은하,일반명사,16
암흑,일반명사,16
무게,일반명사,16
끈,일반명사,16
자아,일반명사,16
전제,일반명사,15
기하학,일반명사,15
직선,일반명사,15
붙들,동사,15
모순,일반명사,15
변하,동사,15
수많,형용사,15
물체,일반명사,15
운동,일반명사,15
도구,일반명사,15
본질,일반명사,15
진화,일반명사,15
다루,동사,15
기록,일반명사,15
이루,동사,15
내려가,동사,15
흔적,일반명사,15
한계,일반명사,15
높,형용사,15
끝나,동사,15
선,일반명사,15
장,일반명사,15
환경,일반명사,15
화학,일반명사,15
목록,일반명사,14
밖,일반명사,14
상대,일반명사,14
크기,일반명사,14
찾,동사,14
상상,일반명사,14
들어가,동사,14
역설,일반명사,14
뉴턴,고유명사,14
궤도,일반명사,14
