품사,단어,합계,0. 序幕 — 問 하늘에 묻다_v99,1. 공리_v99,2. 허실_v99,3. 극한과 무한_v99,4. 곡률_v99,5. 대칭_v99,6. 불완전성_v99,7. 운동_v99,8. 장_v99,9. 동시성_v99,10. 휨_v99,11. 엔트로피_v99,12. 혼돈_v99,13. 양자_v99,14. 파동과 확률_v99,15. 불확정성_v99,16. 경로_v99,17. 얽힘_v99,18. 측정_v99,19. 깨짐_v99,20. 입자_v99,21. 빅뱅_v99,22. 암흑_v99,23. 초끈_v99,24. 다중우주_v99,25. 원자_v99,26. 결합_v99,27. 문턱_v99,28. 핵_v99,29. 세포_v99,30. 진화_v99,31. 뇌_v99,32. 의식_v99,33. 정보_v99,34. 계산_v99,35. 인공지능_v99,36. 양자계산_v99,37. 시간_v99,38. 실재_v99,39. 인식_v99,40. 의지_v99,41. 이성_v99,42. 해체_v99,43. 경계_v99,44. 침묵_v99,45. 음계_v99,46. 산조_v99,47. 시_v99,48. 비극_v99,49. 미술_v99,50. 건축_v99,51. 우주_v99,52. 공존_v99,53. 인간_v99,"54. 終幕 — 答 다시, 하늘에 묻다_v99"
종결어미,다,1699,20,45,44,35,29,49,33,33,49,27,24,36,29,44,49,38,28,26,22,35,36,47,44,41,37,38,25,40,40,28,39,28,24,24,41,42,30,20,42,19,27,28,27,25,29,22,14,17,18,17,15,23,23,18,16
관형격조사,의,1604,5,32,31,32,34,31,22,33,33,27,24,33,26,29,30,22,26,25,34,31,31,28,34,29,33,33,28,26,32,32,31,27,34,35,34,33,25,33,19,30,47,29,34,33,26,25,25,19,37,30,25,29,33,36,9
관형사형어미,ᆫ,1270,11,18,21,19,18,20,35,27,12,26,24,19,24,26,20,29,35,23,19,39,25,26,25,31,30,31,22,39,31,20,33,27,11,25,17,27,23,15,23,24,20,15,29,21,12,19,16,20,20,25,22,27,24,22,8
선어말어미,었,1252,29,50,47,24,15,37,21,34,55,14,18,18,17,50,40,24,19,19,13,34,12,43,35,27,20,44,5,37,27,14,31,10,10,14,32,31,23,13,44,7,18,22,12,12,22,19,4,9,10,14,1,16,8,8,20
목적격조사,을,1185,13,26,29,20,23,23,23,30,24,13,19,29,25,17,19,14,22,19,21,13,19,17,22,24,25,18,16,14,30,24,32,30,27,18,23,20,21,16,27,19,25,15,21,13,26,17,25,20,31,27,33,14,21,22,11
보조사,은,1147,15,17,20,25,22,35,22,24,22,27,21,24,13,22,16,24,20,17,19,21,34,27,21,33,23,15,21,21,24,23,16,17,18,23,23,16,27,24,31,15,28,17,15,14,18,14,21,12,23,20,28,18,18,14,9
긍정지정사(이다),이,1138,10,13,24,8,26,28,19,14,19,32,15,19,18,33,30,12,20,23,21,26,27,23,24,23,35,20,29,28,17,31,22,22,17,23,22,23,19,23,19,26,24,15,25,22,13,16,16,8,20,15,13,18,26,19,5
주격조사,이,1110,8,18,16,17,27,34,18,16,31,24,30,18,19,23,16,18,26,22,14,32,32,26,14,28,19,30,23,27,26,11,16,19,26,21,19,33,20,23,13,9,9,18,18,20,11,17,13,19,14,19,21,23,20,18,8
동사파생접미사,하,1092,12,29,36,22,18,18,20,22,10,21,20,15,12,17,21,15,20,25,17,17,15,27,27,24,24,23,17,22,21,27,25,22,14,18,23,24,33,23,26,28,24,26,32,20,28,16,5,11,10,11,11,15,12,14,7
관형사형어미,는,1064,6,14,30,14,23,19,17,22,26,23,26,31,20,11,19,21,24,15,16,11,23,17,21,27,10,8,23,22,16,22,19,29,30,17,22,18,24,18,20,17,17,20,21,34,18,17,19,15,16,24,23,13,15,14,7
